Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  226	 39.205427	 39.640243	 40.297454	 39.441620	     	  0.964712	  0.926840	  0.936229	  0.953653	     
  227	 38.214764	 39.298433	 39.999862	 38.638583	  min	  0.961210	  0.923379	  0.933290	  0.950252	     
  228	 39.045429	 39.715310	 40.434909	 39.358067	     	  0.962979	  0.927653	  0.937014	  0.952764	     
  229	 38.115210	 39.180728	 39.940784	 38.541333	  min	  0.961328	  0.922217	  0.932106	  0.949939	     
  230	 38.862791	 39.388858	 40.167794	 39.142017	     	  0.963821	  0.924747	  0.934260	  0.952382	     
  231	 38.067509	 39.130133	 39.928947	 38.497530	  min	  0.960984	  0.921795	  0.931878	  0.949601	     
  232	 38.972552	 39.619115	 40.468443	 39.295285	     	  0.962835	  0.927085	  0.936689	  0.952519	     
  233	 38.152313	 39.055923	 39.906030	 38.546077	     	  0.961658	  0.920897	  0.931297	  0.949804	     
  234	 38.595770	 39.290725	 40.147511	 38.933031	     	  0.963157	  0.923546	  0.933572	  0.951625	     
  235	 38.314322	 38.916107	 39.778599	 38.626071	     	  0.962197	  0.919213	  0.929826	  0.949638	     
  236	 38.868860	 39.456994	 40.349371	 39.180548	     	  0.962686	  0.925058	  0.934848	  0.951775	     
  237	 38.538699	 39.047963	 40.001600	 38.835718	     	  0.963390	  0.920954	  0.931167	  0.950947	     
  238	 38.910637	 39.458828	 40.321770	 39.207171	     	  0.963540	  0.925083	  0.933932	  0.952196	     
  239	 39.057676	 39.455689	 40.301989	 39.308489	     	  0.964656	  0.925204	  0.933569	  0.952900	     
  240	 37.027611	 37.646301	 38.642300	 37.360939	  min	  0.948648	  0.898128	  0.915875	  0.934766	     
  241	 37.367889	 37.668181	 38.783009	 37.624991	     	  0.953239	  0.900506	  0.917882	  0.938558	     
